timestamp,event,ear,mar
2026-08-16 10:44:57,DROWSY,0.163,28.006
2026-08-16 10:44:57,DROWSY,0.127,27.346
2026-08-16 10:44:57,DROWSY,0.127,27.346
2026-08-16 10:44:57,DROWSY,0.127,27.346
2026-08-16 10:44:57,DROWSY,0.14,27.679
2026-08-16 10:44:57,DROWSY,0.14,27.679
2026-08-16 10:44:57,DROWSY,0.14,27.679
2026-08-16 10:44:57,DROWSY,0.162,27.673
2026-08-16 10:44:57,DROWSY,0.162,27.673
2026-08-16 10:44:57,DROWSY,0.162,27.673
2026-08-16 10:44:57,DROWSY,0.195,28.018
2026-08-16 10:44:57,DROWSY,0.195,28.018
2026-08-16 10:44:57,DROWSY,0.195,28.018
2026-08-16 10:44:57,DROWSY,0.203,27.34
2026-08-16 10:44:57,DROWSY,0.203,27.34
2026-08-16 10:44:57,DROWSY,0.203,27.34
2026-08-16 10:44:57,DROWSY,0.131,26.346
2026-08-16 10:44:57,DROWSY,0.131,26.346
2026-08-16 10:44:57,DROWSY,0.131,26.346
2026-08-16 10:44:57,DROWSY,0.17,27.679
2026-08-16 10:44:57,DROWSY,0.17,27.679
2026-08-16 10:44:57,DROWSY,0.17,27.679
2026-08-16 10:44:57,DROWSY,0.179,28.012
2026-08-16 10:44:58,DROWSY,0.179,28.012
2026-08-16 10:44:58,DROWSY,0.179,28.012
2026-08-16 10:44:58,DROWSY,0.188,27.345
2026-08-16 10:44:58,DROWSY,0.188,27.345
2026-08-16 10:44:58,DROWSY,0.188,27.345
2026-08-16 10:44:58,DROWSY,0.198,26.679
2026-08-16 10:44:58,DROWSY,0.198,26.679
2026-08-16 10:44:58,DROWSY,0.198,26.679
2026-08-16 10:44:58,DROWSY,0.196,26.697
2026-08-16 10:44:58,DROWSY,0.196,26.697
2026-08-16 10:44:58,DROWSY,0.196,26.697
2026-08-16 10:44:58,DROWSY,0.197,26.007
2026-08-16 10:44:58,DROWSY,0.197,26.007
2026-08-16 10:44:58,DROWSY,0.197,26.007
2026-08-16 10:44:58,DROWSY,0.213,24.014
2026-08-16 10:44:58,DROWSY,0.213,24.014
2026-08-16 10:44:58,DROWSY,0.213,24.014
2026-08-16 10:44:58,DROWSY,0.214,24.347
2026-08-16 10:44:58,DROWSY,0.214,24.347
2026-08-16 10:44:58,DROWSY,0.214,24.347
2026-08-16 10:44:58,DROWSY,0.181,22.008
2026-08-16 10:44:58,DROWSY,0.181,22.008
2026-08-16 10:44:58,DROWSY,0.181,22.008
2026-08-16 10:44:58,DROWSY,0.213,22.008
